time_sec,wall_time_s,vx_mps,vy_mps,vyaw_radps,last_move_ret
0.000803,1784134651.166252,0.000000,0.000000,0.000000,0
0.010524,1784134651.175975,0.000000,0.000000,0.000000,0
0.020588,1784134651.186037,0.000000,0.000000,0.000000,0
0.030650,1784134651.196100,0.000000,0.000000,0.000000,0
0.040712,1784134651.206160,0.000000,0.000000,0.000000,0
0.050778,1784134651.216228,0.000000,0.000000,0.000000,0
0.060839,1784134651.226287,0.000000,0.000000,0.000000,0
0.070900,1784134651.236350,0.000000,0.000000,0.000000,0
0.080962,1784134651.246410,0.000000,0.000000,0.000000,0
0.091022,1784134651.256470,0.000000,0.000000,0.000000,0
0.101086,1784134651.266534,0.000000,0.000000,0.000000,0
0.111146,1784134651.276594,0.000000,0.000000,0.000000,0
0.121205,1784134651.286653,0.000000,0.000000,0.000000,0
0.131268,1784134651.296718,0.000000,0.000000,0.000000,0
0.141332,1784134651.306780,0.000000,0.000000,0.000000,0
0.151395,1784134651.316845,0.000000,0.000000,0.000000,0
0.161458,1784134651.326906,0.000000,0.000000,0.000000,0
0.171520,1784134651.336970,0.000000,0.000000,0.000000,0
0.181583,1784134651.347031,0.000000,0.000000,0.000000,0
0.191643,1784134651.357091,0.000000,0.000000,0.000000,0
0.201704,1784134651.367152,0.000000,0.000000,0.000000,0
0.211767,1784134651.377217,0.000000,0.000000,0.000000,0
0.221826,1784134651.387274,0.000000,0.000000,0.000000,0
0.231888,1784134651.397336,0.000000,0.000000,0.000000,0
0.241947,1784134651.407395,0.000000,0.000000,0.000000,0
0.252008,1784134651.417456,0.000000,0.000000,0.000000,0
0.262067,1784134651.427516,0.000000,0.000000,0.000000,0
0.272129,1784134651.437577,0.000000,0.000000,0.000000,0
0.282188,1784134651.447636,0.000000,0.000000,0.000000,0
0.292249,1784134651.457698,0.000000,0.000000,0.000000,0
0.302309,1784134651.467757,0.000000,0.000000,0.000000,0
0.312371,1784134651.477819,0.000000,0.000000,0.000000,0
0.322430,1784134651.487879,0.000000,0.000000,0.000000,0
0.332500,1784134651.497949,0.000000,0.000000,0.000000,0
0.342561,1784134651.508011,0.000000,0.000000,0.000000,0
0.352623,1784134651.518072,0.000000,0.000000,0.000000,0
0.362682,1784134651.528131,0.000000,0.000000,0.000000,0
0.372743,1784134651.538191,0.000000,0.000000,0.000000,0
0.382803,1784134651.548252,0.000000,0.000000,0.000000,0
0.392866,1784134651.558315,0.000000,0.000000,0.000000,0
0.402927,1784134651.568375,0.000000,0.000000,0.000000,0
0.412989,1784134651.578439,0.000000,0.000000,0.000000,0
0.423049,1784134651.588497,0.000000,0.000000,0.000000,0
0.433067,1784134651.598517,0.000000,0.000000,0.000000,0
0.443128,1784134651.608576,0.000000,0.000000,0.000000,0
0.453189,1784134651.618638,0.000000,0.000000,0.000000,0
0.463247,1784134651.628695,0.000000,0.000000,0.000000,0
0.473308,1784134651.638756,0.000000,0.000000,0.000000,0
0.483366,1784134651.648814,0.000000,0.000000,0.000000,0
0.493428,1784134651.658877,0.000000,0.000000,0.000000,0
0.503489,1784134651.668937,0.000000,0.000000,0.000000,0
0.513550,1784134651.679000,0.000000,0.000000,0.000000,0
0.523610,1784134651.689058,0.000000,0.000000,0.000000,0
0.533671,1784134651.699120,0.000000,0.000000,0.000000,0
0.543732,1784134651.709180,0.000000,0.000000,0.000000,0
0.553768,1784134651.719216,0.000000,0.000000,0.000000,0
0.563830,1784134651.729280,0.000000,0.000000,0.000000,0
0.573893,1784134651.739341,0.000000,0.000000,0.000000,0
0.583959,1784134651.749408,0.000000,0.000000,0.000000,0
0.594018,1784134651.759466,0.000000,0.000000,0.000000,0
0.604080,1784134651.769529,0.000000,0.000000,0.000000,0
0.614140,1784134651.779589,0.000000,0.000000,0.000000,0
0.624207,1784134651.789657,0.000000,0.000000,0.000000,0
0.634269,1784134651.799718,0.000000,0.000000,0.000000,0
0.644333,1784134651.809782,0.000000,0.000000,0.000000,0
0.654394,1784134651.819842,0.000000,0.000000,0.000000,0
0.664457,1784134651.829905,0.000000,0.000000,0.000000,0
0.674517,1784134651.839965,0.000000,0.000000,0.000000,0
0.684581,1784134651.850030,0.000000,0.000000,0.000000,0
0.694641,1784134651.860089,0.000000,0.000000,0.000000,0
0.704703,1784134651.870152,0.000000,0.000000,0.000000,0
0.714763,1784134651.880211,0.000000,0.000000,0.000000,0
0.724826,1784134651.890275,0.000000,0.000000,0.000000,0
0.734886,1784134651.900334,0.000000,0.000000,0.000000,0
0.744951,1784134651.910402,0.000000,0.000000,0.000000,0
0.755010,1784134651.920458,0.000000,0.000000,0.000000,0
0.765072,1784134651.930520,0.000000,0.000000,0.000000,0
0.775132,1784134651.940581,0.000000,0.000000,0.000000,0
0.785198,1784134651.950648,0.000000,0.000000,0.000000,0
0.795261,1784134651.960710,0.000000,0.000000,0.000000,0
0.805324,1784134651.970773,0.000000,0.000000,0.000000,0
0.815386,1784134651.980836,0.000000,0.000000,0.000000,0
0.825455,1784134651.990906,0.000000,0.000000,0.000000,0
0.835519,1784134652.000968,0.000000,0.000000,0.000000,0
0.845584,1784134652.011032,0.000000,0.000000,0.000000,0
0.855644,1784134652.021092,0.000000,0.000000,0.000000,0
0.865709,1784134652.031157,0.000000,0.000000,0.000000,0
