time_sec,wall_time_s,vx_mps,vy_mps,vyaw_radps,last_move_ret
0.000597,1784134087.172044,0.000000,0.000000,0.000000,0
0.010314,1784134087.181762,0.000000,0.000000,0.000000,0
0.020378,1784134087.191825,0.000000,0.000000,0.000000,0
0.030442,1784134087.201889,0.000000,0.000000,0.000000,0
0.040503,1784134087.211949,0.000000,0.000000,0.000000,0
0.050563,1784134087.222009,0.000000,0.000000,0.000000,0
0.060623,1784134087.232070,0.000000,0.000000,0.000000,0
0.070693,1784134087.242140,0.000000,0.000000,0.000000,0
0.080754,1784134087.252200,0.000000,0.000000,0.000000,0
0.090815,1784134087.262262,0.000000,0.000000,0.000000,0
0.100879,1784134087.272325,0.000000,0.000000,0.000000,0
0.110942,1784134087.282389,0.000000,0.000000,0.000000,0
0.121007,1784134087.292453,0.000000,0.000000,0.000000,0
0.131068,1784134087.302516,0.000000,0.000000,0.000000,0
0.141128,1784134087.312573,0.000000,0.000000,0.000000,0
0.151189,1784134087.322636,0.000000,0.000000,0.000000,0
0.161252,1784134087.332700,0.000000,0.000000,0.000000,0
0.171314,1784134087.342762,0.000000,0.000000,0.000000,0
0.181374,1784134087.352820,0.000000,0.000000,0.000000,0
0.191436,1784134087.362883,0.000000,0.000000,0.000000,0
0.201499,1784134087.372947,0.000000,0.000000,0.000000,0
0.211561,1784134087.383009,0.000000,0.000000,0.000000,0
0.221625,1784134087.393072,0.000000,0.000000,0.000000,0
0.231691,1784134087.403139,0.000000,0.000000,0.000000,0
0.241752,1784134087.413198,0.000000,0.000000,0.000000,0
0.251813,1784134087.423260,0.000000,0.000000,0.000000,0
0.261874,1784134087.433321,0.000000,0.000000,0.000000,0
0.271936,1784134087.443383,0.000000,0.000000,0.000000,0
0.281996,1784134087.453442,0.000000,0.000000,0.000000,0
0.292058,1784134087.463505,0.000000,0.000000,0.000000,0
0.302120,1784134087.473567,0.000000,0.000000,0.000000,0
0.312183,1784134087.483631,0.000000,0.000000,0.000000,0
0.322243,1784134087.493689,0.000000,0.000000,0.000000,0
0.332305,1784134087.503752,0.000000,0.000000,0.000000,0
0.342364,1784134087.513810,0.000000,0.000000,0.000000,0
0.352426,1784134087.523874,0.000000,0.000000,0.000000,0
0.362487,1784134087.533932,0.000000,0.000000,0.000000,0
0.372549,1784134087.543997,0.000000,0.000000,0.000000,0
0.382639,1784134087.554084,0.000000,0.000000,0.000000,0
0.392703,1784134087.564148,0.000000,0.000000,0.000000,0
0.402777,1784134087.574224,0.000000,0.000000,0.000000,0
0.412839,1784134087.584286,0.000000,0.000000,0.000000,0
0.422899,1784134087.594345,0.000000,0.000000,0.000000,0
0.432960,1784134087.604411,0.000000,0.000000,0.000000,0
0.443018,1784134087.614464,0.000000,0.000000,0.000000,0
0.453082,1784134087.624528,0.000000,0.000000,0.000000,0
0.463140,1784134087.634586,0.000000,0.000000,0.000000,0
0.473199,1784134087.644646,0.000000,0.000000,0.000000,0
0.483258,1784134087.654704,0.000000,0.000000,0.000000,0
0.493318,1784134087.664764,0.000000,0.000000,0.000000,0
0.503377,1784134087.674824,0.000000,0.000000,0.000000,0
0.513438,1784134087.684885,0.000000,0.000000,0.000000,0
0.523501,1784134087.694947,0.000000,0.000000,0.000000,0
0.533565,1784134087.705012,0.000000,0.000000,0.000000,0
0.543625,1784134087.715071,0.000000,0.000000,0.000000,0
0.553691,1784134087.725139,0.000000,0.000000,0.000000,0
0.563751,1784134087.735197,0.000000,0.000000,0.000000,0
0.573810,1784134087.745256,0.000000,0.000000,0.000000,0
0.583870,1784134087.755316,0.000000,0.000000,0.000000,0
0.593929,1784134087.765375,0.000000,0.000000,0.000000,0
0.603991,1784134087.775438,0.000000,0.000000,0.000000,0
0.614052,1784134087.785498,0.000000,0.000000,0.000000,0
0.624113,1784134087.795560,0.000000,0.000000,0.000000,0
0.634171,1784134087.805617,0.000000,0.000000,0.000000,0
0.644232,1784134087.815679,0.000000,0.000000,0.000000,0
0.654289,1784134087.825735,0.000000,0.000000,0.000000,0
0.664350,1784134087.835797,0.000000,0.000000,0.000000,0
0.674408,1784134087.845853,0.000000,0.000000,0.000000,0
0.684468,1784134087.855915,0.000000,0.000000,0.000000,0
0.694526,1784134087.865972,0.000000,0.000000,0.000000,0
0.704587,1784134087.876034,0.000000,0.000000,0.000000,0
0.714647,1784134087.886093,0.000000,0.000000,0.000000,0
0.724708,1784134087.896155,0.000000,0.000000,0.000000,0
0.734776,1784134087.906224,0.000000,0.000000,0.000000,0
0.744848,1784134087.916299,0.000000,0.000000,0.000000,0
0.754914,1784134087.926363,0.000000,0.000000,0.000000,0
0.764979,1784134087.936429,0.000000,0.000000,0.000000,0
0.775056,1784134087.946506,0.000000,0.000000,0.000000,0
0.785122,1784134087.956568,0.000000,0.000000,0.000000,0
0.795184,1784134087.966631,0.000000,0.000000,0.000000,0
0.805245,1784134087.976693,0.000000,0.000000,0.000000,0
0.815269,1784134087.986716,0.000000,0.000000,0.000000,0
0.825330,1784134087.996777,0.000000,0.000000,0.000000,0
0.835389,1784134088.006835,0.000000,0.000000,0.000000,0
0.845448,1784134088.016895,0.000000,0.000000,0.000000,0
0.855513,1784134088.026959,0.000000,0.000000,0.000000,0
0.865576,1784134088.037023,0.000000,0.000000,0.000000,0
0.875639,1784134088.047086,0.000000,0.000000,0.000000,0
0.885701,1784134088.057148,0.000000,0.000000,0.000000,0
0.895762,1784134088.067209,0.000000,0.000000,0.000000,0
0.905822,1784134088.077268,0.000000,0.000000,0.000000,0
0.915887,1784134088.087333,0.000000,0.000000,0.000000,0
0.925948,1784134088.097394,0.000000,0.000000,0.000000,0
0.936014,1784134088.107464,0.000000,0.000000,0.000000,0
0.946073,1784134088.117520,0.000000,0.000000,0.000000,0
0.956135,1784134088.127582,0.000000,0.000000,0.000000,0
0.966196,1784134088.137643,0.000000,0.000000,0.000000,0
0.976258,1784134088.147705,0.000000,0.000000,0.000000,0
0.986318,1784134088.157764,0.000000,0.000000,0.000000,0
0.996382,1784134088.167830,0.000000,0.000000,0.000000,0
1.006450,1784134088.177899,0.000000,0.000000,0.000000,0
1.016519,1784134088.187966,0.000000,0.000000,0.000000,0
1.026579,1784134088.198025,0.000000,0.000000,0.000000,0
1.036641,1784134088.208088,0.000000,0.000000,0.000000,0
1.046701,1784134088.218147,0.000000,0.000000,0.000000,0
1.056763,1784134088.228209,0.000000,0.000000,0.000000,0
1.066823,1784134088.238269,0.000000,0.000000,0.000000,0
1.076882,1784134088.248328,0.000000,0.000000,0.000000,0
1.086941,1784134088.258386,0.000000,0.000000,0.000000,0
1.096999,1784134088.268445,0.000000,0.000000,0.000000,0
1.107058,1784134088.278504,0.000000,0.000000,0.000000,0
1.117120,1784134088.288567,0.000000,0.000000,0.000000,0
1.127182,1784134088.298628,0.000000,0.000000,0.000000,0
1.137242,1784134088.308689,0.000000,0.000000,0.000000,0
1.147302,1784134088.318748,0.000000,0.000000,0.000000,0
1.157355,1784134088.328801,0.000000,0.000000,0.000000,0
1.167414,1784134088.338861,0.000000,0.000000,0.000000,0
1.177425,1784134088.348871,0.000000,0.000000,0.000000,0
1.187486,1784134088.358932,0.000000,0.000000,0.000000,0
1.197547,1784134088.368994,0.000000,0.000000,0.000000,0
1.207607,1784134088.379053,0.000000,0.000000,0.000000,0
1.217669,1784134088.389117,0.000000,0.000000,0.000000,0
1.227728,1784134088.399173,0.000000,0.000000,0.000000,0
1.237789,1784134088.409236,0.000000,0.000000,0.000000,0
1.247848,1784134088.419293,0.000000,0.000000,0.000000,0
1.257907,1784134088.429353,0.000000,0.000000,0.000000,0
1.267941,1784134088.439388,0.000000,0.000000,0.000000,0
1.278004,1784134088.449453,0.000000,0.000000,0.000000,0
1.288066,1784134088.459513,0.000000,0.000000,0.000000,0
1.298129,1784134088.469577,0.000000,0.000000,0.000000,0
1.308190,1784134088.479636,0.000000,0.000000,0.000000,0
1.318251,1784134088.489698,0.000000,0.000000,0.000000,0
1.328311,1784134088.499757,0.000000,0.000000,0.000000,0
1.338376,1784134088.509824,0.000000,0.000000,0.000000,0
1.348438,1784134088.519885,0.000000,0.000000,0.000000,0
1.358500,1784134088.529947,0.000000,0.000000,0.000000,0
1.368559,1784134088.540004,0.000000,0.000000,0.000000,0
1.378619,1784134088.550066,0.000000,0.000000,0.000000,0
1.388676,1784134088.560122,0.000000,0.000000,0.000000,0
1.398746,1784134088.570192,0.000000,0.000000,0.000000,0
1.408811,1784134088.580259,0.000000,0.000000,0.000000,0
1.418875,1784134088.590323,0.000000,0.000000,0.000000,0
1.428935,1784134088.600380,0.000000,0.000000,0.000000,0
1.438993,1784134088.610440,0.000000,0.000000,0.000000,0
1.449051,1784134088.620497,0.000000,0.000000,0.000000,0
1.459108,1784134088.630554,0.000000,0.000000,0.000000,0
1.469167,1784134088.640613,0.000000,0.000000,0.000000,0
1.479225,1784134088.650671,0.000000,0.000000,0.000000,0
1.489283,1784134088.660729,0.000000,0.000000,0.000000,0
1.499341,1784134088.670787,0.000000,0.000000,0.000000,0
1.509401,1784134088.680847,0.000000,0.000000,0.000000,0
1.519463,1784134088.690910,0.000000,0.000000,0.000000,0
1.529523,1784134088.700969,0.000000,0.000000,0.000000,0
1.539583,1784134088.711030,0.000000,0.000000,0.000000,0
1.549647,1784134088.721095,0.000000,0.000000,0.000000,0
1.559708,1784134088.731155,0.000000,0.000000,0.000000,0
1.569768,1784134088.741215,0.000000,0.000000,0.000000,0
1.579829,1784134088.751276,0.000000,0.000000,0.000000,0
1.589892,1784134088.761338,0.000000,0.000000,0.000000,0
1.599951,1784134088.771397,0.000000,0.000000,0.000000,0
1.610011,1784134088.781457,0.000000,0.000000,0.000000,0
1.620072,1784134088.791520,0.000000,0.000000,0.000000,0
1.630131,1784134088.801576,0.000000,0.000000,0.000000,0
1.640190,1784134088.811636,0.000000,0.000000,0.000000,0
1.650247,1784134088.821693,0.000000,0.000000,0.000000,0
1.660306,1784134088.831752,0.000000,0.000000,0.000000,0
1.670364,1784134088.841810,0.000000,0.000000,0.000000,0
1.680422,1784134088.851868,0.000000,0.000000,0.000000,0
1.690480,1784134088.861925,0.000000,0.000000,0.000000,0
1.700538,1784134088.871984,0.000000,0.000000,0.000000,0
1.710597,1784134088.882043,0.000000,0.000000,0.000000,0
1.720656,1784134088.892103,0.000000,0.000000,0.000000,0
1.730717,1784134088.902164,0.000000,0.000000,0.000000,0
1.740780,1784134088.912228,0.000000,0.000000,0.000000,0
1.750841,1784134088.922287,0.000000,0.000000,0.000000,0
1.760903,1784134088.932350,0.000000,0.000000,0.000000,0
1.770962,1784134088.942408,0.000000,0.000000,0.000000,0
1.781023,1784134088.952470,0.000000,0.000000,0.000000,0
1.791081,1784134088.962526,0.000000,0.000000,0.000000,0
1.801164,1784134088.972610,0.000000,0.000000,0.000000,0
1.811221,1784134088.982666,0.000000,0.000000,0.000000,0
1.821282,1784134088.992728,0.000000,0.000000,0.000000,0
1.831339,1784134089.002785,0.000000,0.000000,0.000000,0
1.841399,1784134089.012845,0.000000,0.000000,0.000000,0
1.851457,1784134089.022902,0.000000,0.000000,0.000000,0
1.861516,1784134089.032962,0.000000,0.000000,0.000000,0
1.871575,1784134089.043020,0.000000,0.000000,0.000000,0
1.881635,1784134089.053081,0.000000,0.000000,0.000000,0
1.891693,1784134089.063138,0.000000,0.000000,0.000000,0
1.901753,1784134089.073199,0.000000,0.000000,0.000000,0
1.911815,1784134089.083260,0.000000,0.000000,0.000000,0
1.921874,1784134089.093320,0.000000,0.000000,0.000000,0
1.931931,1784134089.103377,0.000000,0.000000,0.000000,0
1.941992,1784134089.113439,0.000000,0.000000,0.000000,0
1.952051,1784134089.123497,0.000000,0.000000,0.000000,0
1.962113,1784134089.133560,0.000000,0.000000,0.000000,0
1.972173,1784134089.143620,0.000000,0.000000,0.000000,0
1.982235,1784134089.153682,0.000000,0.000000,0.000000,0
1.992293,1784134089.163739,0.000000,0.000000,0.000000,0
2.002362,1784134089.173810,0.000000,0.000000,0.000000,0
2.012421,1784134089.183868,0.000000,0.000000,0.000000,0
2.022481,1784134089.193928,0.000000,0.000000,0.000000,0
2.032540,1784134089.203986,0.000000,0.000000,0.000000,0
2.042598,1784134089.214044,0.000000,0.000000,0.000000,0
2.052657,1784134089.224103,0.000000,0.000000,0.000000,0
2.062716,1784134089.234162,0.000000,0.000000,0.000000,0
2.072775,1784134089.244221,0.000000,0.000000,0.000000,0
2.082832,1784134089.254278,0.000000,0.000000,0.000000,0
2.092890,1784134089.264336,0.000000,0.000000,0.000000,0
2.102951,1784134089.274397,0.000000,0.000000,0.000000,0
2.113011,1784134089.284457,0.000000,0.000000,0.000000,0
2.123070,1784134089.294517,0.000000,0.000000,0.000000,0
2.133129,1784134089.304575,0.000000,0.000000,0.000000,0
2.143187,1784134089.314633,0.000000,0.000000,0.000000,0
2.153247,1784134089.324693,0.000000,0.000000,0.000000,0
2.163309,1784134089.334756,0.000000,0.000000,0.000000,0
2.173369,1784134089.344814,0.000000,0.000000,0.000000,0
2.183426,1784134089.354872,0.000000,0.000000,0.000000,0
2.193485,1784134089.364931,0.000000,0.000000,0.000000,0
2.203547,1784134089.374994,0.000000,0.000000,0.000000,0
2.213608,1784134089.385055,0.000000,0.000000,0.000000,0
2.223669,1784134089.395115,0.000000,0.000000,0.000000,0
2.233727,1784134089.405172,0.000000,0.000000,0.000000,0
2.243786,1784134089.415231,0.000000,0.000000,0.000000,0
2.253812,1784134089.425257,0.000000,0.000000,0.000000,0
2.263872,1784134089.435318,0.000000,0.000000,0.000000,0
2.273901,1784134089.445346,0.000000,0.000000,0.000000,0
2.283962,1784134089.455409,0.000000,0.000000,0.000000,0
2.293988,1784134089.465433,0.000000,0.000000,0.000000,0
2.304047,1784134089.475493,0.000000,0.000000,0.000000,0
2.314104,1784134089.485550,0.000000,0.000000,0.000000,0
2.324165,1784134089.495611,0.000000,0.000000,0.000000,0
2.334222,1784134089.505668,0.000000,0.000000,0.000000,0
2.344284,1784134089.515730,0.000000,0.000000,0.000000,0
2.354343,1784134089.525789,0.000000,0.000000,0.000000,0
2.364404,1784134089.535851,0.000000,0.000000,0.000000,0
2.374463,1784134089.545909,0.000000,0.000000,0.000000,0
2.384525,1784134089.555971,0.000000,0.000000,0.000000,0
2.394582,1784134089.566028,0.000000,0.000000,0.000000,0
2.404644,1784134089.576090,0.025000,0.000000,0.000000,0
2.414703,1784134089.586150,0.025000,0.000000,0.000000,0
2.424763,1784134089.596210,0.025000,0.000000,0.000000,0
2.434823,1784134089.606269,0.025000,0.000000,0.000000,0
2.444891,1784134089.616338,0.025000,0.000000,0.000000,0
2.454954,1784134089.626400,0.025000,0.000000,0.000000,0
2.465013,1784134089.636459,0.025000,0.000000,0.000000,0
2.475071,1784134089.646516,0.025000,0.000000,0.000000,0
2.485129,1784134089.656575,0.025000,0.000000,0.000000,0
2.495188,1784134089.666634,0.025000,0.000000,0.000000,0
2.505247,1784134089.676693,0.025000,0.000000,0.000000,0
2.515306,1784134089.686752,0.025000,0.000000,0.000000,0
2.525365,1784134089.696812,0.025000,0.000000,0.000000,0
2.535424,1784134089.706870,0.025000,0.000000,0.000000,0
2.545484,1784134089.716930,0.025000,0.000000,0.000000,0
2.555544,1784134089.726990,0.025000,0.000000,0.000000,0
2.565604,1784134089.737051,0.025000,0.000000,0.000000,0
2.575665,1784134089.747111,0.025000,0.000000,0.000000,0
2.585724,1784134089.757170,0.025000,0.000000,0.000000,0
2.595782,1784134089.767228,0.025000,0.000000,0.000000,0
2.605844,1784134089.777290,0.025000,0.000000,0.000000,0
2.615904,1784134089.787351,0.025000,0.000000,0.000000,0
2.625965,1784134089.797411,0.025000,0.000000,0.000000,0
2.636023,1784134089.807469,0.025000,0.000000,0.000000,0
2.646083,1784134089.817528,0.025000,0.000000,0.000000,0
2.656139,1784134089.827585,0.025000,0.000000,0.000000,0
2.666198,1784134089.837644,0.025000,0.000000,0.000000,0
2.676255,1784134089.847701,0.025000,0.000000,0.000000,0
2.686314,1784134089.857759,0.025000,0.000000,0.000000,0
2.696370,1784134089.867816,0.025000,0.000000,0.000000,0
2.706429,1784134089.877875,0.025000,0.000000,0.000000,0
2.716486,1784134089.887932,0.025000,0.000000,0.000000,0
2.726547,1784134089.897993,0.025000,0.000000,0.000000,0
2.736605,1784134089.908051,0.025000,0.000000,0.000000,0
2.746668,1784134089.918117,0.025000,0.000000,0.000000,0
2.756727,1784134089.928173,0.025000,0.000000,0.000000,0
2.766788,1784134089.938234,0.025000,0.000000,0.000000,0
2.776845,1784134089.948291,0.025000,0.000000,0.000000,0
2.786906,1784134089.958353,0.025000,0.000000,0.000000,0
2.796965,1784134089.968411,0.025000,0.000000,0.000000,0
2.807026,1784134089.978472,0.025000,0.000000,0.000000,0
2.817085,1784134089.988532,0.025000,0.000000,0.000000,0
2.827144,1784134089.998590,0.025000,0.000000,0.000000,0
2.837203,1784134090.008649,0.025000,0.000000,0.000000,0
2.847261,1784134090.018708,0.025000,0.000000,0.000000,0
2.857327,1784134090.028774,0.025000,0.000000,0.000000,0
2.867387,1784134090.038834,0.025000,0.000000,0.000000,0
2.877449,1784134090.048896,0.025000,0.000000,0.000000,0
2.887507,1784134090.058953,0.025000,0.000000,0.000000,0
2.897567,1784134090.069014,0.025000,0.000000,0.000000,0
2.907627,1784134090.079073,0.025000,0.000000,0.000000,0
2.917699,1784134090.089149,0.025000,0.000000,0.000000,0
2.927760,1784134090.099206,0.025000,0.000000,0.000000,0
2.937823,1784134090.109271,0.025000,0.000000,0.000000,0
2.947883,1784134090.119329,0.025000,0.000000,0.000000,0
2.957945,1784134090.129391,0.025000,0.000000,0.000000,0
2.968003,1784134090.139449,0.025000,0.000000,0.000000,0
2.978064,1784134090.149511,0.025000,0.000000,0.000000,0
2.988122,1784134090.159568,0.025000,0.000000,0.000000,0
2.998188,1784134090.169639,0.025000,0.000000,0.000000,0
3.008249,1784134090.179696,0.025000,0.000000,0.000000,0
3.018313,1784134090.189760,0.025000,0.000000,0.000000,0
3.028371,1784134090.199816,0.025000,0.000000,0.000000,0
3.038395,1784134090.209843,0.025000,0.000000,0.000000,0
3.048455,1784134090.219900,0.025000,0.000000,0.000000,0
3.058514,1784134090.229960,0.025000,0.000000,0.000000,0
3.068574,1784134090.240020,0.025000,0.000000,0.000000,0
3.078634,1784134090.250080,0.025000,0.000000,0.000000,0
3.088692,1784134090.260138,0.025000,0.000000,0.000000,0
3.098755,1784134090.270201,0.025000,0.000000,0.000000,0
3.108819,1784134090.280266,0.025000,0.000000,0.000000,0
