time_sec,wall_time_s,vx_mps,vy_mps,vyaw_radps,last_move_ret
0.000604,1784133842.329298,0.000000,0.000000,0.000000,0
0.010331,1784133842.339025,0.000000,0.000000,0.000000,0
0.020395,1784133842.349088,0.000000,0.000000,0.000000,0
0.030454,1784133842.359147,0.000000,0.000000,0.000000,0
0.040513,1784133842.369205,0.000000,0.000000,0.000000,0
0.050571,1784133842.379264,0.000000,0.000000,0.000000,0
0.060629,1784133842.389321,0.000000,0.000000,0.000000,0
0.070687,1784133842.399380,0.000000,0.000000,0.000000,0
0.080746,1784133842.409440,0.000000,0.000000,0.000000,0
0.090804,1784133842.419497,0.000000,0.000000,0.000000,0
0.100863,1784133842.429556,0.000000,0.000000,0.000000,0
0.110922,1784133842.439615,0.000000,0.000000,0.000000,0
0.120982,1784133842.449675,0.000000,0.000000,0.000000,0
0.131041,1784133842.459734,0.000000,0.000000,0.000000,0
0.141101,1784133842.469794,0.000000,0.000000,0.000000,0
0.151158,1784133842.479851,0.000000,0.000000,0.000000,0
0.161217,1784133842.489909,0.000000,0.000000,0.000000,0
0.171277,1784133842.499969,0.000000,0.000000,0.000000,0
0.181334,1784133842.510026,0.000000,0.000000,0.000000,0
0.191393,1784133842.520086,0.000000,0.000000,0.000000,0
0.201457,1784133842.530151,0.000000,0.000000,0.000000,0
0.211519,1784133842.540212,0.000000,0.000000,0.000000,0
0.221578,1784133842.550272,0.000000,0.000000,0.000000,0
0.231637,1784133842.560330,0.000000,0.000000,0.000000,0
0.241695,1784133842.570389,0.000000,0.000000,0.000000,0
0.251754,1784133842.580447,0.000000,0.000000,0.000000,0
0.261815,1784133842.590509,0.000000,0.000000,0.000000,0
0.271874,1784133842.600566,0.000000,0.000000,0.000000,0
0.281931,1784133842.610624,0.000000,0.000000,0.000000,0
0.291990,1784133842.620683,0.000000,0.000000,0.000000,0
0.302051,1784133842.630744,0.000000,0.000000,0.000000,0
0.312110,1784133842.640803,0.000000,0.000000,0.000000,0
0.322171,1784133842.650863,0.000000,0.000000,0.000000,0
0.332229,1784133842.660921,0.000000,0.000000,0.000000,0
0.342237,1784133842.670930,0.000000,0.000000,0.000000,0
0.352297,1784133842.680990,0.000000,0.000000,0.000000,0
0.362357,1784133842.691051,0.000000,0.000000,0.000000,0
0.372416,1784133842.701108,0.000000,0.000000,0.000000,0
0.382477,1784133842.711170,0.000000,0.000000,0.000000,0
