time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784246741.477503,0.005223747,-0.120255426,-0.375739962,-0.001437839,-0.001174776,-0.000768421,1.160910130,0.051421084,9.693757057
1784246741.478776,0.005225588,-0.120252192,-0.375733674,-0.000972233,-0.000858145,-0.000217360,1.154034972,0.042261928,9.734041214
1784246741.480764,0.005220072,-0.120241992,-0.375736743,-0.000877512,0.000149784,0.000079714,1.197128773,0.044689931,9.756066322
1784246741.482806,0.005213525,-0.120239906,-0.375738740,-0.001441088,0.000803863,-0.000192722,1.214578986,0.038404111,9.726453781
1784246741.484757,0.005210680,-0.120239444,-0.375736296,-0.001603650,0.000879592,-0.000050043,1.175500751,0.036959827,9.747925758
1784246741.486792,0.005213749,-0.120238587,-0.375733644,-0.001036405,0.000853930,0.000289210,1.189063668,0.044075549,9.730948448
1784246741.488783,0.005218642,-0.120236404,-0.375730485,-0.000171189,0.000830363,0.000537043,1.159143925,0.056533441,9.734137535
1784246741.490797,0.005223714,-0.120234236,-0.375729561,0.000514044,0.000849375,0.000591513,1.162314653,0.059161890,9.736847878
1784246741.492787,0.005225601,-0.120237522,-0.375732988,0.000757023,0.000490551,0.000213519,1.173244476,0.071639955,9.726626396
1784246741.494791,0.005227204,-0.120240241,-0.375735104,0.000588186,-0.000018112,-0.000226240,1.187461376,0.096175887,9.716037750
1784246741.496795,0.005225699,-0.120234586,-0.375729799,0.000307629,0.000221241,0.000070310,1.180710077,0.057293311,9.714436531
1784246741.498829,0.005225116,-0.120234996,-0.375728130,0.000140161,0.000519654,0.000539819,1.155611873,0.061897736,9.742238045
1784246741.500876,0.005225634,-0.120235778,-0.375727236,0.000085370,0.000198227,0.000572075,1.162457585,0.069204636,9.710460663
1784246741.502827,0.005223410,-0.120242849,-0.375721544,-0.000032430,-0.000486841,0.000881766,1.169008374,0.055136211,9.723827362
1784246741.504807,0.005224667,-0.120242037,-0.375720829,-0.000080485,-0.000842207,0.001090182,1.173111200,0.060456820,9.724312782
1784246741.506822,0.005233666,-0.120242544,-0.375718564,0.000613336,-0.000656974,0.000920710,1.198873878,0.074165359,9.703354836
1784246741.508808,0.005240411,-0.120246455,-0.375720054,0.001514271,-0.000777069,0.000597889,1.164579391,0.060515188,9.731479645
1784246741.510799,0.005240960,-0.120248325,-0.375719726,0.001536973,-0.000947389,0.000307094,1.144991040,0.073739946,9.734235764
1784246741.512794,0.005240433,-0.120248102,-0.375725001,0.001032612,-0.000794644,-0.000102603,1.153068185,0.074046262,9.739624023
1784246741.514780,0.005235750,-0.120247997,-0.375725061,0.000285871,-0.000643392,-0.000383390,1.171791673,0.061900627,9.712663651
1784246741.516784,0.005229939,-0.120252065,-0.375724852,-0.000569588,-0.000820380,-0.000174845,1.171254039,0.055529986,9.727418900
1784246741.518785,0.005231311,-0.120253205,-0.375730455,-0.000757836,-0.000951346,-0.000455485,1.145693183,0.058408733,9.746690750
1784246741.520764,0.005236052,-0.120252296,-0.375735968,-0.000241233,-0.000888931,-0.001127357,1.166070580,0.072179899,9.726623535
1784246741.522761,0.005234292,-0.120258003,-0.375733912,-0.000014145,-0.001151160,-0.001077207,1.190396190,0.079109952,9.716380119
1784246741.524759,0.005232221,-0.120264046,-0.375734776,-0.000357990,-0.001537015,-0.000663479,1.157798529,0.055340365,9.715299606
1784246741.526760,0.005235590,-0.120264128,-0.375741124,-0.000331716,-0.001439345,-0.000973295,1.161176801,0.036200553,9.691417694
1784246741.528762,0.005235815,-0.120261267,-0.375747949,-0.000107203,-0.000863773,-0.001629099,1.149990678,0.077019110,9.705118179
1784246741.530756,0.005235521,-0.120262168,-0.375752181,-0.000325739,-0.000621563,-0.001909869,1.168949008,0.049398571,9.711684227
1784246741.532763,0.005236143,-0.120267928,-0.375747740,-0.000366447,-0.001027016,-0.001359285,1.183850050,0.058866851,9.739556313
1784246741.534755,0.005230035,-0.120270118,-0.375746250,-0.000630962,-0.001214403,-0.000542770,1.163316369,0.067267746,9.729278564
1784246741.536756,0.005221343,-0.120267473,-0.375748247,-0.001503762,-0.000783391,-0.000306903,1.173669338,0.068609767,9.710915565
1784246741.538764,0.005213398,-0.120269358,-0.375750184,-0.002248125,-0.000520903,-0.000352157,1.190207005,0.065458089,9.746330261
1784246741.540755,0.005216457,-0.120274417,-0.375748992,-0.002054116,-0.000770377,-0.000260047,1.178844810,0.051896259,9.720678329
1784246741.542758,0.005220661,-0.120275162,-0.375747055,-0.001062470,-0.000872285,-0.000028684,1.161142945,0.070686586,9.693431854
1784246741.544787,0.005222982,-0.120274156,-0.375754029,-0.000462395,-0.000671896,-0.000400356,1.172890902,0.080096543,9.735198975
1784246741.546782,0.005223506,-0.120274477,-0.375759214,-0.000331314,-0.000501848,-0.001122764,1.149461389,0.071525320,9.722567558
1784246741.548773,0.005227216,-0.120274648,-0.375759691,-0.000001985,-0.000401036,-0.001233595,1.169367790,0.046724126,9.708977699
1784246741.550766,0.005221495,-0.120276608,-0.375758320,-0.000072544,-0.000507227,-0.000828430,1.187852025,0.053258698,9.701864243
1784246741.552812,0.005215202,-0.120273553,-0.375753552,-0.000755424,-0.000364444,-0.000099805,1.148281097,0.049040191,9.736321449
1784246741.554796,0.005214026,-0.120267212,-0.375751942,-0.000994089,0.000258870,0.000416244,1.187900543,0.060127191,9.744050980
1784246741.556788,0.005211929,-0.120264858,-0.375757396,-0.000967929,0.000661221,0.000070137,1.192364335,0.056238372,9.715785980
1784246741.558792,0.005212086,-0.120267704,-0.375753164,-0.000846245,0.000448249,-0.000022188,1.191029668,0.056751266,9.709062576
1784246741.560782,0.005214782,-0.120273910,-0.375746936,-0.000349446,-0.000255925,0.000666319,1.195949912,0.056970648,9.732382774
1784246741.562791,0.005217727,-0.120273210,-0.375752002,0.000125039,-0.000532147,0.000519522,1.138929844,0.055400573,9.740835190
1784246741.564819,0.005213492,-0.120271087,-0.375753462,-0.000048186,-0.000328917,-0.000055336,1.137778997,0.071547613,9.740490913
1784246741.566792,0.005210117,-0.120276235,-0.375751287,-0.000541557,-0.000576208,0.000064655,1.177989841,0.055485088,9.721595764
1784246741.568828,0.005210508,-0.120283753,-0.375753880,-0.000599017,-0.001280926,0.000041313,1.175341368,0.058296382,9.709057808
1784246741.570792,0.005216011,-0.120287664,-0.375752598,-0.000061058,-0.001709787,-0.000100662,1.166728139,0.051632144,9.716629028
1784246741.572788,0.005218625,-0.120292105,-0.375748932,0.000531095,-0.001810811,0.000194546,1.183435321,0.059139691,9.701898575
1784246741.574787,0.005221255,-0.120289475,-0.375755966,0.000679965,-0.001374062,-0.000129557,1.163082600,0.046779178,9.712558746
1784246741.576785,0.005215799,-0.120284803,-0.375753582,0.000234628,-0.000437841,-0.000381152,1.179525971,0.035183005,9.738504410
1784246741.578787,0.005203701,-0.120282933,-0.375754088,-0.000996473,0.000124536,-0.000006936,1.172447085,0.043767180,9.741242409
1784246741.580798,0.005201740,-0.120278001,-0.375759751,-0.001656702,0.000553212,-0.000311501,1.149385929,0.064850405,9.716247559
1784246741.582796,0.005201038,-0.120280512,-0.375759453,-0.001363293,0.000569383,-0.000569896,1.182956100,0.058093712,9.723858833
1784246741.584839,0.005201564,-0.120283745,-0.375757158,-0.000975276,0.000090095,-0.000237090,1.154023886,0.041362830,9.734482765
1784246741.586802,0.005199520,-0.120281778,-0.375752151,-0.000744316,0.000045490,0.000331902,1.165478230,0.058893073,9.705914497
1784246741.588808,0.005198961,-0.120285586,-0.375755340,-0.000702920,-0.000091418,0.000384588,1.178739429,0.079739176,9.711888313
1784246741.590821,0.005201321,-0.120293573,-0.375760257,-0.000569849,-0.000854028,-0.000266530,1.203198314,0.098662436,9.716068268
1784246741.592801,0.005194920,-0.120297089,-0.375759631,-0.000835038,-0.001389559,-0.000434446,1.185207009,0.057718750,9.709512711
1784246741.594804,0.005194985,-0.120295160,-0.375756562,-0.001040005,-0.001080912,-0.000011341,1.200734138,0.043554429,9.720196724
1784246741.596802,0.005197342,-0.120293275,-0.375750244,-0.000553188,-0.000486824,0.000606834,1.156187177,0.034217577,9.727266312
1784246741.598801,0.005197249,-0.120293498,-0.375747770,-0.000164837,-0.000253167,0.001182475,1.165544748,0.030744897,9.757740974
1784246741.600803,0.005173797,-0.120314047,-0.375708878,-0.000211876,-0.000527799,0.001118246,1.190764070,0.035201449,9.715648651
1784246741.602806,0.005172007,-0.120317347,-0.375710875,-0.000410720,-0.000922693,0.000619620,1.186309218,0.038350154,9.721941948
1784246741.604820,0.005165844,-0.120319590,-0.375714958,-0.000877912,-0.000953983,0.000106860,1.181006193,0.046761878,9.745752335
1784246741.606812,0.005156933,-0.120317467,-0.375719637,-0.001720275,-0.000610607,-0.000391800,1.171681762,0.054142199,9.732789993
1784246741.608819,0.005151779,-0.120316453,-0.375722319,-0.002260464,-0.000235811,-0.000663998,1.142866015,0.048057459,9.758276939
1784246741.610814,0.005156424,-0.120310061,-0.375719309,-0.001604781,0.000167470,-0.000462759,1.162702560,0.054622479,9.744440079
1784246741.612814,0.005160889,-0.120303385,-0.375716716,-0.000436471,0.000848131,-0.000042129,1.168389916,0.042049337,9.738088608
1784246741.614819,0.005154953,-0.120300189,-0.375714511,-0.000363453,0.001298157,0.000298908,1.185747504,0.064921722,9.703730583
1784246741.616809,0.005146385,-0.120301612,-0.375711471,-0.001184458,0.001076561,0.000687314,1.214805126,0.056805491,9.721639633
1784246741.618816,0.005140233,-0.120298199,-0.375714391,-0.001854043,0.000918004,0.000627182,1.190081120,0.053925559,9.730115891
1784246741.620820,0.005141907,-0.120296732,-0.375719279,-0.001740811,0.001069767,-0.000027941,1.178506613,0.060880307,9.718044281
1784246741.622819,0.005142842,-0.120297916,-0.375723600,-0.001191226,0.000870188,-0.000650592,1.160902143,0.053790886,9.738605499
1784246741.624820,0.005139408,-0.120296091,-0.375726044,-0.001100440,0.000564925,-0.000906999,1.177584767,0.058267631,9.709059715
1784246741.626820,0.005134177,-0.120295294,-0.375732452,-0.001466626,0.000473754,-0.001184004,1.181985497,0.089039363,9.721366882
1784246741.628822,0.005128547,-0.120292731,-0.375733167,-0.001858493,0.000569904,-0.001258729,1.177802205,0.041035861,9.737643242
1784246741.630822,0.005131106,-0.120295085,-0.375729024,-0.001569523,0.000395780,-0.000663748,1.209076762,0.066624090,9.737389565
1784246741.632819,0.005134890,-0.120300069,-0.375726312,-0.000695926,-0.000243190,-0.000069645,1.168327808,0.073069334,9.723491669
1784246741.634830,0.005139754,-0.120299950,-0.375726104,-0.000020759,-0.000527439,0.000093448,1.163714886,0.062407549,9.718936920
