time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1783616711.207109,-0.009532014,0.041686036,-0.186723158,-0.000332905,-0.000984884,0.000525262,-0.421440899,-0.086940907,9.822263718
1783616711.208907,-0.009534201,0.041687172,-0.186727718,-0.000510695,-0.001062706,0.000264091,-0.383624345,-0.116727941,9.784449577
1783616711.210878,-0.009537120,0.041687567,-0.186725393,-0.000816587,-0.000721182,0.000021613,-0.400844812,-0.092012122,9.805213928
1783616711.212893,-0.009536400,0.041688222,-0.186713338,-0.000806740,-0.000445869,0.000982752,-0.417849094,-0.088591151,9.795804977
1783616711.214855,-0.009542585,0.041688111,-0.186712503,-0.001016648,-0.000278301,0.001574092,-0.423358351,-0.098828442,9.796181679
1783616711.216890,-0.009544916,0.041685265,-0.186721399,-0.001295418,-0.000398116,0.000577237,-0.432860881,-0.105010964,9.800618172
1783616711.218856,-0.009542308,0.041690558,-0.186721161,-0.000844287,-0.000186357,-0.000164308,-0.407885432,-0.119905777,9.770956039
1783616711.220836,-0.009538537,0.041696437,-0.186719611,-0.000131280,0.000553309,0.000021429,-0.390575141,-0.095785275,9.813270569
1783616711.222864,-0.009538929,0.041696966,-0.186718166,0.000114630,0.000896663,0.000227419,-0.402056813,-0.081615455,9.794519424
1783616711.224845,-0.009537979,0.041697826,-0.186719224,0.000109710,0.000807899,0.000194783,-0.418899596,-0.101135276,9.797517776
1783616711.226959,-0.009532776,0.041697875,-0.186713472,0.000484078,0.000647282,0.000477954,-0.392515868,-0.109477371,9.788969994
1783616711.228833,-0.009537236,0.041695591,-0.186707452,0.000465038,0.000404547,0.001152425,-0.397927612,-0.111244738,9.795229912
1783616711.230803,-0.009538434,0.041696757,-0.186708912,0.000037339,0.000307276,0.001138104,-0.383981377,-0.107893333,9.802886963
1783616711.232808,-0.009540332,0.041695628,-0.186709553,-0.000127541,0.000327595,0.000677118,-0.392387211,-0.099545911,9.778274536
1783616711.234795,-0.009541717,0.041697055,-0.186709166,-0.000265843,0.000359818,0.000467725,-0.400550425,-0.106609806,9.778220177
1783616711.236804,-0.009540886,0.041698150,-0.186720014,-0.000201646,0.000439717,-0.000370208,-0.399967104,-0.095016263,9.785021782
1783616711.238890,-0.009539924,0.041703805,-0.186723977,0.000048002,0.000803492,-0.001267437,-0.401076734,-0.076111518,9.774829865
1783616711.240823,-0.009544807,0.041710857,-0.186719134,-0.000202265,0.001462720,-0.000872545,-0.411000162,-0.079232045,9.790491104
1783616711.242877,-0.009545860,0.041710917,-0.186714485,-0.000607602,0.001509843,-0.000009979,-0.415495217,-0.080048218,9.787343979
1783616711.244963,-0.009547668,0.041710243,-0.186710611,-0.000691457,0.001020248,0.000561652,-0.411846846,-0.075983077,9.776165009
1783616711.246963,-0.009549626,0.041709017,-0.186710447,-0.000770470,0.000611660,0.000670881,-0.406151921,-0.087685727,9.773405075
1783616711.248889,-0.009552928,0.041711632,-0.186705947,-0.000988686,0.000513511,0.000787413,-0.371823639,-0.105684742,9.785428047
1783616711.250884,-0.009557136,0.041711245,-0.186702266,-0.001310348,0.000496323,0.001107023,-0.400289774,-0.084694684,9.783292770
