time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784245514.383973,-0.006141405,-0.001552498,-0.618509948,0.000953090,0.000726809,0.001615020,0.013028366,-0.045010176,9.822052956
1784245514.385831,-0.006150207,-0.001552883,-0.618509054,0.000386188,0.000538961,0.001290229,-0.001049027,-0.059528809,9.809841156
1784245514.387849,-0.006157231,-0.001551811,-0.618509650,-0.000803988,0.000411050,0.000962178,0.012570969,-0.047504593,9.795584679
1784245514.389857,-0.006155080,-0.001549662,-0.618509948,-0.000927599,0.000490397,0.000635079,0.014850731,-0.044410329,9.797400475
1784245514.391852,-0.006156669,-0.001550390,-0.618515074,-0.000638220,0.000455996,0.000090000,-0.000376142,-0.041149076,9.807270050
1784245514.393816,-0.006158633,-0.001551582,-0.618522465,-0.000736553,0.000167158,-0.000778393,0.000460033,-0.047317568,9.791091919
1784245514.395840,-0.006158112,-0.001552333,-0.618522465,-0.000664379,-0.000046911,-0.001067815,0.041830275,-0.079460345,9.763128281
1784245514.397862,-0.006162203,-0.001556397,-0.618520021,-0.000668230,-0.000260343,-0.000611149,0.023852736,-0.078652419,9.807949066
1784245514.399873,-0.006170997,-0.001555986,-0.618519068,-0.001303206,-0.000337456,-0.000206833,0.027803062,-0.088314474,9.773369789
1784245514.401828,-0.006178138,-0.001551616,-0.618521035,-0.002031164,0.000079090,-0.000216962,0.018035078,-0.078050219,9.796739578
1784245514.403826,-0.006183987,-0.001553602,-0.618527532,-0.002290627,0.000238725,-0.000730162,-0.006910985,-0.062113222,9.805784225
1784245514.405836,-0.006187496,-0.001557491,-0.618527591,-0.002232880,-0.000206393,-0.000980397,0.039780933,-0.023288000,9.806527138
1784245514.407887,-0.006182991,-0.001554685,-0.618526161,-0.001699683,-0.000143292,-0.000618197,0.025024856,-0.019047547,9.803849220
1784245514.409884,-0.006177902,-0.001551241,-0.618524611,-0.000727518,0.000399696,-0.000242331,-0.001674895,-0.038326420,9.790698051
1784245514.411834,-0.006181108,-0.001549299,-0.618517935,-0.000401357,0.000653279,0.000373070,0.004598641,-0.075657025,9.799431801
1784245514.413837,-0.006183625,-0.001550900,-0.618518353,-0.000637799,0.000447917,0.000692094,0.016600201,-0.047222838,9.811729431
1784245514.415812,-0.006178830,-0.001551166,-0.618520081,-0.000267878,0.000151904,0.000364939,0.045255449,-0.055777732,9.765974045
1784245514.417813,-0.006172560,-0.001549149,-0.618520916,0.000530086,0.000308767,0.000093422,0.013963460,-0.042292569,9.816243172
1784245514.419828,-0.006175186,-0.001544562,-0.618518889,0.000608075,0.000750903,0.000149377,0.015654290,-0.016083241,9.781889915
1784245514.421809,-0.006173042,-0.001542943,-0.618518889,0.000410480,0.000967410,0.000243302,0.029009312,-0.023982348,9.797544479
1784245514.423799,-0.006168240,-0.001544931,-0.618513823,0.000569897,0.000796657,0.000508948,0.035889607,-0.051155128,9.762856483
1784245514.425788,-0.006170739,-0.001552278,-0.618509471,0.000371315,0.000061805,0.001005447,0.011690999,-0.046139672,9.794247627
1784245514.427825,-0.006169959,-0.001555388,-0.618515730,0.000117465,-0.000701690,0.000607521,0.020077614,-0.056259848,9.816160202
1784245514.429806,-0.006166001,-0.001558031,-0.618514180,0.000370428,-0.000937407,0.000121547,0.008611809,-0.079149373,9.779238701
1784245514.431793,-0.006163595,-0.001558272,-0.618518054,0.000701487,-0.000877713,-0.000068490,0.024879083,-0.069945984,9.778864861
1784245514.433796,-0.006164847,-0.001558736,-0.618524075,0.000655970,-0.000702042,-0.000712101,0.025168736,-0.083365127,9.775193214
1784245514.435789,-0.006161424,-0.001562965,-0.618526757,0.000692031,-0.000845245,-0.001110158,0.032547541,-0.064455509,9.812082291
1784245514.437795,-0.006160629,-0.001564655,-0.618522942,0.000789012,-0.000954424,-0.000732136,0.023400880,-0.041892208,9.805942535
1784245514.439792,-0.006161746,-0.001568571,-0.618521750,0.000551857,-0.001014303,-0.000186353,0.050552193,-0.026243735,9.761684418
1784245514.441797,-0.006162593,-0.001572754,-0.618521869,0.000268733,-0.001289064,-0.000060996,0.040031169,-0.040665664,9.792516708
1784245514.443796,-0.006166765,-0.001568839,-0.618523002,-0.000238044,-0.000891014,-0.000129286,0.019198960,-0.056505542,9.789258003
1784245514.445804,-0.006169192,-0.001571414,-0.618523717,-0.000714445,-0.000491667,-0.000214699,0.013642558,-0.031551652,9.818552971
1784245514.447805,-0.006172370,-0.001578750,-0.618522227,-0.000980307,-0.001012693,-0.000100799,0.053260803,-0.059280850,9.803170204
1784245514.449812,-0.006176138,-0.001581045,-0.618519723,-0.001264708,-0.001374606,0.000198753,0.036740467,-0.053965680,9.778531075
1784245514.451808,-0.006182531,-0.001579865,-0.618517458,-0.001610612,-0.001079117,0.000474023,0.023932945,-0.073156059,9.790948868
1784245514.453821,-0.006186821,-0.001583146,-0.618521452,-0.001879594,-0.000860907,0.000223249,0.018322267,-0.055925250,9.772224426
1784245514.455828,-0.006186025,-0.001582838,-0.618520975,-0.001587684,-0.000760426,-0.000085351,0.017756874,-0.064135425,9.793690681
1784245514.457811,-0.006183415,-0.001584385,-0.618517935,-0.000905750,-0.000659277,0.000178138,0.006693814,-0.051829971,9.784342766
1784245514.459808,-0.006183743,-0.001587778,-0.618512452,-0.000484840,-0.000838864,0.000711539,-0.004185283,-0.025103914,9.762985229
1784245514.461812,-0.006189867,-0.001588192,-0.618514955,-0.000791022,-0.000870764,0.000720606,0.016727144,-0.035683956,9.827048302
1784245514.463813,-0.006200732,-0.001589185,-0.618521690,-0.001824084,-0.000736183,-0.000103580,0.044124383,-0.036231432,9.791652679
1784245514.465822,-0.006208465,-0.001589846,-0.618522823,-0.002685547,-0.000655521,-0.000614002,0.039037332,-0.047494400,9.809508324
1784245514.467815,-0.006206450,-0.001591248,-0.618515551,-0.002410863,-0.000558358,-0.000027445,0.009613848,0.004139598,9.784256935
1784245514.469839,-0.006210660,-0.001586644,-0.618516862,-0.001971785,-0.000130057,0.000384175,0.040162478,-0.031118577,9.772851944
1784245514.471827,-0.006218098,-0.001585453,-0.618520081,-0.002227554,0.000300584,-0.000038290,0.036408909,-0.081304029,9.780147552
1784245514.473832,-0.006221743,-0.001592644,-0.618516624,-0.002350574,-0.000144451,-0.000007194,0.035847601,-0.090292476,9.785021782
1784245514.475839,-0.006225265,-0.001597328,-0.618515432,-0.002174030,-0.000869387,0.000320531,0.014744150,-0.090946801,9.789032936
1784245514.477827,-0.006225639,-0.001590855,-0.618515074,-0.001746034,-0.000517325,0.000329980,0.013427975,-0.051887587,9.780314445
1784245514.479821,-0.006221892,-0.001589784,-0.618517935,-0.000941163,0.000131475,0.000069056,0.002899233,-0.068396695,9.789613724
1784245514.481881,-0.006216296,-0.001591120,-0.618523121,-0.000052258,0.000081094,-0.000484493,0.025616366,-0.044573750,9.800995827
1784245514.483835,-0.006213936,-0.001585526,-0.618521750,0.000434859,0.000314450,-0.000615722,0.038513932,-0.054157194,9.802291870
1784245514.485828,-0.006218209,-0.001585694,-0.618519962,0.000120434,0.000560782,-0.000242611,0.016427921,-0.061551236,9.810741425
1784245514.487847,-0.006226648,-0.001589685,-0.618520379,-0.000802392,0.000100407,-0.000083782,0.027169598,-0.102735683,9.786277771
1784245514.489836,-0.006229869,-0.001593843,-0.618526638,-0.001403966,-0.000502402,-0.000511009,0.041987713,-0.066059664,9.768593788
1784245514.491835,-0.006232566,-0.001596945,-0.618527770,-0.001425276,-0.000855709,-0.000875254,0.040646289,-0.025984084,9.806061745
1784245514.493833,-0.006229228,-0.001602901,-0.618524134,-0.001098704,-0.001102876,-0.000472085,0.024953384,-0.025690651,9.793046951
1784245514.495833,-0.006227449,-0.001607907,-0.618517578,-0.000556075,-0.001415425,0.000344868,0.061796051,-0.022127254,9.792656898
1784245514.497841,-0.006229808,-0.001612984,-0.618517935,-0.000556309,-0.001493196,0.000669439,0.049633890,-0.064797625,9.766367912
1784245514.499841,-0.006231658,-0.001611587,-0.618518591,-0.000803739,-0.001112217,0.000420532,-0.002170735,-0.079119496,9.794471741
1784245514.501843,-0.006230062,-0.001610228,-0.618515432,-0.000602549,-0.000624240,0.000475658,0.015016732,-0.067316145,9.804876328
1784245514.503841,-0.006231952,-0.001610044,-0.618519008,-0.000438206,-0.000339724,0.000316880,0.014537239,-0.070795514,9.790954590
1784245514.505882,-0.006238693,-0.001617346,-0.618519247,-0.000884856,-0.000718996,-0.000019578,0.010731919,-0.048641428,9.832787514
1784245514.507859,-0.006251763,-0.001621976,-0.618519723,-0.002028225,-0.001347784,-0.000051326,0.024751294,-0.043091178,9.783071518
1784245514.509852,-0.006255740,-0.001619231,-0.618517876,-0.002673260,-0.001124680,0.000056003,0.044196714,-0.065145172,9.825093269
1784245514.511856,-0.006255235,-0.001621042,-0.618516982,-0.002182834,-0.000757070,0.000227118,0.019613771,-0.058805145,9.796864510
1784245514.513861,-0.006251510,-0.001628027,-0.618518949,-0.001343053,-0.001068898,0.000096585,0.017522961,-0.084623992,9.776969910
1784245514.515891,-0.006250463,-0.001627457,-0.618513942,-0.000694019,-0.001136130,0.000273221,0.051072296,-0.091139413,9.813723564
1784245514.517881,-0.006252440,-0.001630266,-0.618514180,-0.000453226,-0.000877396,0.000529607,0.009782829,-0.055927306,9.787905693
1784245514.519870,-0.006255434,-0.001637343,-0.618518591,-0.000553136,-0.001204045,0.000081260,0.029337810,-0.033852775,9.798827171
1784245514.521876,-0.006256765,-0.001637279,-0.618519425,-0.000697131,-0.001350910,-0.000299117,0.014889399,-0.041268244,9.796524048
1784245514.523871,-0.006253440,-0.001639502,-0.618514836,-0.000455904,-0.001087412,0.000040159,0.018288443,-0.021439219,9.774238586
1784245514.525873,-0.006247870,-0.001642959,-0.618519068,0.000187919,-0.001133054,0.000052064,-0.003023071,-0.037514992,9.805049896
1784245514.527884,-0.006245260,-0.001641156,-0.618522942,0.000660277,-0.000982806,-0.000515894,0.012410657,-0.060117450,9.805366516
1784245514.529901,-0.006249784,-0.001641588,-0.618526399,0.000319341,-0.000668417,-0.000857385,0.017765276,-0.063258588,9.796384811
1784245514.531959,-0.006258889,-0.001645682,-0.618526459,-0.000692866,-0.000792685,-0.000856614,0.028235203,-0.087640516,9.803860664
1784245514.533903,-0.006266059,-0.001643860,-0.618530035,-0.001572695,-0.000683576,-0.000873218,0.024524052,-0.098685443,9.788542747
1784245514.535892,-0.006266584,-0.001643008,-0.618530691,-0.001631312,-0.000268164,-0.000918621,0.066080175,-0.074344777,9.819225311
1784245514.537895,-0.006269344,-0.001649440,-0.618530810,-0.001371519,-0.000366224,-0.000718775,0.085180804,-0.055145849,9.794260025
1784245514.539891,-0.006269075,-0.001649657,-0.618533075,-0.001128544,-0.000509574,-0.000681815,0.033245455,-0.043851875,9.811768532
1784245514.541897,-0.006262713,-0.001649940,-0.618526995,-0.000371660,-0.000406810,-0.000237623,0.014032395,-0.036885239,9.811795235
1784245514.543928,-0.006256622,-0.001651406,-0.618528247,0.000449765,-0.000425299,0.000158083,0.027653530,-0.061631378,9.801785469
1784245514.545922,-0.006259604,-0.001656892,-0.618531287,0.000412965,-0.000788139,-0.000170367,0.023463007,-0.074938968,9.790488243
1784245514.547899,-0.006261964,-0.001659808,-0.618534923,0.000042065,-0.001137754,-0.000573128,0.013897789,-0.086074501,9.798477173
1784245514.549899,-0.006259552,-0.001658457,-0.618535995,0.000138219,-0.000929190,-0.000737009,0.035417501,-0.050523724,9.800968170
1784245514.551893,-0.006255334,-0.001660573,-0.618531883,0.000551099,-0.000730164,-0.000332085,0.053197280,-0.064240217,9.807621002
1784245514.553901,-0.006249436,-0.001660330,-0.618534148,0.001015350,-0.000532498,-0.000108756,0.045118220,-0.064155817,9.810304642
1784245514.555899,-0.006244838,-0.001655556,-0.618539453,0.001378264,0.000083197,-0.000593261,0.023121465,-0.027986951,9.804238319
1784245514.557927,-0.006243983,-0.001659096,-0.618542314,0.001259360,0.000194093,-0.000984812,0.018963275,-0.039823480,9.775016785
1784245514.559916,-0.006245356,-0.001658500,-0.618532062,0.000769314,-0.000015288,-0.000207253,0.038627520,-0.044750012,9.802352905
1784245514.561914,-0.006242441,-0.001657685,-0.618527353,0.000666945,0.000078322,0.000866417,0.034773786,-0.065431058,9.819253922
1784245514.563917,-0.006240712,-0.001655545,-0.618535101,0.000851941,0.000475229,0.000423295,0.035755724,-0.058291074,9.821542740
1784245514.565919,-0.006239845,-0.001650466,-0.618539155,0.000846627,0.001057521,-0.000493814,0.047294758,-0.068765916,9.824624062
1784245514.567913,-0.006237541,-0.001655983,-0.618543625,0.000889995,0.000885793,-0.000930490,0.015635863,-0.090192743,9.807420731
1784245514.569924,-0.006235164,-0.001658345,-0.618545592,0.001024258,0.000254719,-0.001106845,0.013490867,-0.081281096,9.818234444
1784245514.571923,-0.006242341,-0.001655035,-0.618541956,0.000420544,0.000249212,-0.000692347,0.040920623,-0.077114031,9.812908173
1784245514.573913,-0.006243952,-0.001658194,-0.618539810,-0.000236707,0.000263773,-0.000101803,0.040338147,-0.051111244,9.811728477
1784245514.575931,-0.006238723,-0.001664298,-0.618533015,0.000126876,-0.000366003,0.000542794,0.035312727,-0.021460922,9.809672356
1784245514.577939,-0.006234094,-0.001664115,-0.618532360,0.000611101,-0.000628499,0.000905508,0.025670510,-0.040904213,9.788915634
1784245514.579924,-0.006231167,-0.001665952,-0.618537366,0.000806170,-0.000525167,0.000376852,0.017826561,-0.057911664,9.800455093
1784245514.581961,-0.006226650,-0.001667277,-0.618539214,0.001091785,-0.000594325,-0.000189363,0.031943657,-0.040648028,9.804615021
1784245514.583931,-0.006228158,-0.001666481,-0.618541956,0.000922569,-0.000389536,-0.000456608,0.025168117,-0.045374893,9.788437843
1784245514.585932,-0.006236665,-0.001664748,-0.618542612,-0.000084663,-0.000033379,-0.000561286,0.047925163,-0.056800354,9.778971672
1784245514.587946,-0.006240139,-0.001668276,-0.618544519,-0.000875518,-0.000025629,-0.000584880,0.018511513,-0.077026501,9.777915955
1784245514.589936,-0.006235649,-0.001670661,-0.618542492,-0.000569119,-0.000300595,-0.000421711,0.051923387,-0.059600282,9.787476540
1784245514.591928,-0.006231088,-0.001667212,-0.618542075,0.000199977,-0.000147803,-0.000137543,0.034793518,-0.065275259,9.797285080
1784245514.593932,-0.006228361,-0.001668614,-0.618543506,0.000654293,0.000146077,-0.000164355,0.023912221,-0.076561689,9.765819550
1784245514.595934,-0.006232685,-0.001674351,-0.618544757,0.000382077,-0.000262639,-0.000296626,0.029667232,-0.042500153,9.817153931
1784245514.597940,-0.006237091,-0.001679298,-0.618545413,-0.000362248,-0.000878815,-0.000341470,0.057221562,-0.030460201,9.775563240
1784245514.599942,-0.006241130,-0.001680530,-0.618538797,-0.000884347,-0.001025133,0.000151081,0.043777190,-0.026913889,9.805162430
1784245514.601943,-0.006239855,-0.001684735,-0.618537068,-0.000830982,-0.001119398,0.000673124,0.040776424,-0.054846574,9.769113541
1784245514.603959,-0.006235872,-0.001684919,-0.618538201,-0.000282871,-0.001028358,0.000531623,0.030225419,-0.072747253,9.785129547
1784245514.605946,-0.006235848,-0.001682217,-0.618537962,0.000031354,-0.000492476,0.000322711,0.042234346,-0.043039147,9.807298660
1784245514.607938,-0.006235140,-0.001681606,-0.618541896,-0.000045675,-0.000007691,-0.000009957,0.058747143,-0.015281739,9.780591965
1784245514.609975,-0.006235909,-0.001678896,-0.618542969,-0.000155811,0.000346605,-0.000342641,0.033033527,-0.061735343,9.806721687
1784245514.611948,-0.006234238,-0.001670643,-0.618539929,-0.000052047,0.000995938,-0.000131230,0.026188426,-0.071469270,9.801720619
1784245514.613940,-0.006240390,-0.001670521,-0.618540108,-0.000267654,0.001309674,0.000093637,0.030358750,-0.060347423,9.805383682
1784245514.615960,-0.006245729,-0.001671209,-0.618539751,-0.000901022,0.000932386,0.000090852,0.025622630,-0.044929504,9.787992477
1784245514.617951,-0.006244651,-0.001672347,-0.618541420,-0.000929623,0.000527540,-0.000019524,0.025623666,-0.045326587,9.780815125
1784245514.619949,-0.006241758,-0.001673918,-0.618537545,-0.000391150,0.000171146,0.000135288,0.009775462,-0.057201233,9.778036118
1784245514.621954,-0.006241240,-0.001670956,-0.618527234,-0.000051755,0.000213093,0.001061994,0.030435106,-0.054476235,9.798695564
1784245514.623951,-0.006238064,-0.001665616,-0.618516862,0.000271638,0.000690153,0.002172942,0.028137343,-0.021743760,9.799350739
1784245514.625968,-0.006234889,-0.001666395,-0.618514836,0.000686637,0.000787195,0.002421540,0.031044759,-0.039432544,9.824348450
1784245514.627956,-0.006233240,-0.001666557,-0.618521571,0.000807631,0.000560941,0.001445382,0.033407189,-0.069222882,9.787843704
1784245514.629958,-0.006241424,-0.001661646,-0.618527532,0.000123760,0.000785745,0.000193651,0.027565952,-0.068401672,9.808915138
1784245514.631962,-0.006244340,-0.001659178,-0.618525505,-0.000663772,0.001074973,-0.000122273,0.033804972,-0.072872736,9.796338081
1784245514.633957,-0.006239790,-0.001659892,-0.618525803,-0.000337934,0.000949664,0.000026225,0.034853596,-0.059937876,9.802700043
1784245514.635957,-0.006234405,-0.001654861,-0.618527234,0.000462408,0.001033738,-0.000098398,0.054134849,-0.024723645,9.793529510
1784245514.637964,-0.006236804,-0.001652392,-0.618534803,0.000399274,0.001428925,-0.000675749,0.052590169,-0.040458165,9.803738594
1784245514.639965,-0.006237040,-0.001649688,-0.618535936,-0.000028180,0.001558823,-0.001079778,0.016758496,-0.034625877,9.804190636
1784245514.641976,-0.006231731,-0.001649960,-0.618532896,0.000323918,0.001299886,-0.000652952,0.039734706,-0.065700606,9.785181999
1784245514.643967,-0.006230360,-0.001652911,-0.618528008,0.000685555,0.000891582,0.000072121,0.035497468,-0.082213886,9.783727646
1784245514.645963,-0.006230391,-0.001654186,-0.618524849,0.000586638,0.000526047,0.000599374,0.030104484,-0.043001559,9.823877335
1784245514.647969,-0.006231819,-0.001652463,-0.618528903,0.000210850,0.000464787,0.000370370,0.020737547,-0.040008642,9.797883034
