time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784243372.096662,-0.004232477,-0.011281107,0.947513461,-0.001291632,-0.000584123,0.001876198,0.139038041,-0.018954108,9.774370193
1784243372.098625,-0.004232118,-0.011282924,0.947513461,-0.001153895,0.000027328,0.001318195,0.124704242,-0.017359477,9.764951706
1784243372.100609,-0.004232118,-0.011282924,0.947513461,-0.000836753,0.000417534,0.000731214,0.131452680,-0.014062344,9.793223381
1784243372.102597,-0.004232118,-0.011282924,0.947513461,-0.000644240,0.000538668,0.000555360,0.133130729,-0.024328034,9.784640312
1784243372.104589,-0.004231686,-0.011283451,0.947513461,-0.000301504,0.000896488,0.000140247,0.138929680,-0.028319953,9.768480301
1784243372.106623,-0.004231686,-0.011283451,0.947513461,0.000163026,0.000956959,-0.000180985,0.116619140,-0.052075893,9.810003281
1784243372.108637,-0.004231286,-0.011283433,0.947513461,0.000224889,0.000622800,0.000105957,0.120256700,-0.011316700,9.805335999
1784243372.110607,-0.004231286,-0.011283433,0.947513461,-0.000181357,0.000473457,0.000441161,0.104631409,-0.041595295,9.806920052
1784243372.112594,-0.004231286,-0.011283433,0.947513461,-0.000603337,0.000367349,0.000468547,0.092556491,-0.037881814,9.810518265
1784243372.114620,-0.004230705,-0.011282292,0.947513461,-0.000749071,0.000215647,0.000596651,0.117058761,-0.016995020,9.790501595
1784243372.116599,-0.004230705,-0.011282292,0.947513461,-0.000310907,0.000244255,0.000529146,0.128725827,-0.017138138,9.789614677
1784243372.118595,-0.004230168,-0.011282929,0.947513461,0.000008333,0.000335209,0.000787242,0.101739585,-0.022162355,9.788660049
1784243372.120597,-0.004230168,-0.011282929,0.947513461,-0.000358843,0.000224954,0.001460724,0.116454750,-0.029157352,9.800734520
1784243372.122688,-0.004230168,-0.011282929,0.947513461,-0.000589604,0.000145678,0.001716739,0.121821292,-0.029772874,9.814633369
1784243372.124620,-0.004229665,-0.011283515,0.947513461,-0.000446138,0.000462881,0.001851672,0.117729500,-0.037437845,9.765712738
1784243372.126612,-0.004229665,-0.011283515,0.947513461,-0.000213356,0.000784455,0.001643797,0.086996347,-0.017010089,9.783747673
1784243372.128600,-0.004228392,-0.011282011,0.947513461,-0.000101804,0.000607134,0.001201147,0.109537624,-0.008354226,9.786066055
1784243372.130625,-0.004228392,-0.011282011,0.947513461,-0.000185440,0.000281634,0.000895378,0.092355728,-0.056892950,9.774976730
1784243372.132610,-0.004228392,-0.011282011,0.947513461,-0.000189203,0.000173873,0.000023575,0.102675468,-0.057028372,9.775436401
1784243372.134605,-0.004229002,-0.011281524,0.947513461,-0.000007725,0.000277140,-0.001223981,0.143594667,-0.049567733,9.786731720
1784243372.136613,-0.004229002,-0.011281524,0.947513461,-0.000106504,0.000802736,-0.001787686,0.145291075,-0.019666977,9.800374985
1784243372.138604,-0.004227182,-0.011282594,0.947513461,-0.000577967,0.001237956,-0.001223884,0.134225398,-0.006977158,9.799997330
1784243372.140610,-0.004227182,-0.011282594,0.947513461,-0.000763476,0.001191107,-0.000453901,0.126543924,-0.048539191,9.798825264
1784243372.142609,-0.004227182,-0.011282594,0.947513461,-0.000668522,0.000616846,-0.000274708,0.121657692,-0.044437937,9.797950745
